Emotion,,Song Name,Old or New,Movie Name
Anger,,Lechindi Nidira,Old ,Gundaamma Katha
Anger,,Ragilindhi Viplaavagni,Old ,Alluri Seetharama Raju
Anger,,Nenu Puttanu,Old ,Prem Nagar
Anger,,Teluguveera Levaraa,Old ,Alluri Seetharama Raju
Anger,,Ragulutondi,Old ,Khaidi
Anger,,Narudu Bratuku Natana,Old ,Subhasankalpam
Anger,,,Old ,
Anger,,,Old ,
Anger,,Evarikosam,Old ,Prem Nagar
Anger,,Roar Of Kesari,New,Bhagavanth Kesari
Anger,,Hungry Cheetah,New,OG
Anger,,Hukum ,New,Jailer
Anger,,Singamalye,New,simhadri
Anger,,Agni Skalana,New,Chatrapathi
Anger,,Ye Mera Jaha,New,Kushi
Anger,,Khadgam,New,Khadgam
Anger,,Nippu Ra,New,Khabali
Anger,,Business man theme,New,Businessman
Anger,,Ga Ee Ga Ee Ga Ee,New,Eega
Anger,,,New,
Anxiety,,,Old ,
Anxiety,,,Old ,
Anxiety,,,Old ,
Anxiety,,,Old ,
Anxiety,,Pranamlo Pranamga,Old ,Andhrudu
Anxiety,,Nuvvante Pranamani,Old ,Naa Autograph
Anxiety,,Cheliya Cheliya,Old ,Manmadhudu
Anxiety,,Manasuna Unnadi,Old ,Priyamainaneeku
Anxiety,,Nuvve Nuvve Kavalantundi,Old ,Nuvve Nuvve
Anxiety,,Manasuley Kalisey,New,Desamuduru
Anxiety,,Emitemitemo,New,Arjun Reddy
Anxiety,,Vintunnavaa,New,Yemaaya Chesave
Anxiety,,O Sayonara,New,No 1 Nenokkadine
Anxiety,,Telisiney Na Nuvvey,New,Arjun Reddy
Anxiety,,Gelupu Thalupule,New,Teenmar
Anxiety,,Yedisthe Rarevaru,New,Keshava
Anxiety,,Letha Letha Gundelu,New,Master
Anxiety,,Nee Prashnalu,New,Kothabangarulokam
Anxiety,,,New,
Confusion,,,Old ,
Confusion,,,Old ,
Confusion,,,Old ,
Confusion,,,Old ,
Confusion,,,Old ,
Confusion,,Emaindo Emo,Old ,Premato Raa
Confusion,,Manasa Ekkadunnavu,Old ,Choodalani Undi
Confusion,,Kalaya Nijama,Old ,Coolie No 1
Confusion,,Yeto Vellipoyindi,Old ,Ninne Pelladatha
Confusion,,Pagale Vennela,Old ,Pooja Phalamu
Confusion,,Yemaindho Teliyadu Naaku,New,MCA
Confusion,,Emaindhi Eevela,New,Aadavari Matalaku Ardhalu Veruley
Confusion,,Manasa,New,Munna
Confusion,,Confusion,New,Kothabangarulokam
Confusion,,Nijamga Nenena,New,Kothabangarulokam
Confusion,,Nijamga idhi Nenenaa,New,Uyyala Jampala
Confusion,,Tingarabuchi,New,Bichagadu
Confusion,,Emiti Hadavidi,New,Oohalu Gusagusalade
Confusion,,Inthaku Nuvvevaru,New,Snehituda
Confusion,,Hey Idi Nenena,New,Solo Brathuke so Better
Devotion,,Vinaro Bhagyamu,Old,Annamayya
Devotion,,Telugu Padaniki,Old,Annamayya
Devotion,,Adivo Alladivo,Old,Annamayya
Devotion,,Hanuman Chalisa,Old,Hanuman
Devotion,,Bhoomatha Eenaadu,Old,Manushulu maraali
Devotion,,Dinakara Subhakara,Old,Vinayaka Chavithi
Devotion,,Yasodhaa Nandhana,Old,Vinayaka Chavithi
Devotion,,Deva Deva Davalachala,Old,Bhookailas
Devotion,,Chiru Chiru Nagavula,Old,Sri Venkateswara Mahatyam
Devotion,,Sri Seetharamula Kalyanam,Old,Seetharama Kalyanam
Devotion,,Sada Siva,New,Khaaleja
Devotion,,Andhari Bhanduvayya,New,Devullu
Devotion,,Maha Kanaka Durga,New,Devullu
Devotion,,Mangalam,New,Sri Ramadasu
Devotion,,Omkaram Srusthi,New,Damarukam
Devotion,,Rama Rama,New,Sri Anjaneyam
Devotion,,Shiva Shiva Shankara,New,Damarukam
Devotion,,Sharanu Sharanu,New,Shirdi Sai
Devotion,,Okkade Devudu,New,Shirdi Sai
Devotion,,Sita Rama Charitham,New,Sri Rama Rajyam
Disgust,,Aata Kaavala,Old,Annaya
Disgust,,Nee Illu Bangaram ,Old,Gaja Donga
Disgust,,O Subba Rao,Old,Bobbili Pulli
Disgust,,Puttintollu Tharimesaru,Old,Upendra
Disgust,,Masthu Masthu papa,Old,Vetagadu
Disgust,,Roop Tera Masthana,Old,Rikshavodu
Disgust,,Ebdi Bey Ettaga,Old,Gharana  Mogudu
Disgust,,Amalapuram bulloda,Old,Rowdy Alludu
Disgust,,Reddu reddu Bugga Reddu,Old,Alluda Mazzaka
Disgust,,Nuvvu Whistleste,Old,simhadri
Disgust,,Lasku Tappa,New,Legend
Disgust,,chuk chuk,New,Tulasi
Disgust,,Ayyo Papam,New,Yevadu
Disgust,,chinnadamme cheekulu,New,simhadri
Disgust,,Naughty Girl,New,Shadow
Disgust,,Ringa Ringa,New,Aarya -2
Disgust,,Door Number Okati,New,Oopiri
Disgust,,Chikni chemali,New,Agneepath
Disgust,,Jigelu rani,New,Rangasthalam
Disgust,,Oo Antava mama,New,Pushpa
Excitement,,Gala Gala,Old,Chatrapathi
Excitement,,Chamka chamka,Old,Chirutha
Excitement,,Ivvalla,Old,Chirutha
Excitement,,Raavoyi Chandamama,Old,missamma
Excitement,,patti patti,Old,Pedda manushulu 
Excitement,,Holiday Jollyday,Old,Manushulu maraali
Excitement,,Kannepettaro Kannu kottaro,Old,Hello Brother
Excitement,,Botany ,Old,Shiva
Excitement,,Priyatama,Old,Jagadakaveerudu
Excitement,,Allatappa,Old,Kodama Simham
Excitement,,Ticket Ek konakunda,New,Tillu
Excitement,,Lingi Lingi Lingidi,New,Kotabommali
Excitement,,Ranjithame,New,Varisu
Excitement,,Jimikki Ponnu,New,Varisu
Excitement,,My Dear Markandeya,New,Bro
Excitement,,urika urike,New,Hit2
Excitement,,Holi Holi,New,Kushi
Excitement,,Meme Indians,New,Khadgam
Excitement,,Last Bench,New,Kirrak Party
Excitement,,Don't stop,New,Nanna ki prema Tho
Fear,,Ninu Veedani Needanu Nene,Old,Anthasthulu
Fear,,Nandikonda,Old,Geetanjali
Fear,,Cheppalani,Old,Rudra Veena
Fear,,Punnami Raathri,Old,Punnami Naagu
Fear,,Yeh Bhayamesthundi,Old,Amma Rajinama
Fear,,Maavoollo Oka Paduchundhi,Old,Avey Kallu
Fear,,,Old,
Fear,,,Old,
Fear,,,Old,
Fear,,,Old,
Fear,,Bhayapadi Adivantha,New,Ganga
Fear,,Vilaya Pralaya Moorthy,New,Kanchana
Fear,,Agnimuni Bhagnamuni,New,Ganga
Fear,,Boochi Boochai,New,Rakshasudu
Fear,,Ragile Jwaale,New,Virupaksha
Fear,,Varam Nan Unai,New,Chandramukhi
Fear,,Ghirani,New,Nagavalli
Fear,,Bhayam,New,Nayaki
Fear,,Bhayam Vaddu,New,Hey Sinamika
Fear,,Jeeva Pindam,New,Pindam
Guilt,,,Old,
Guilt,,Premaledani,Old,Abhinandana
Guilt,,I Am Sorry,Old,Prema
Guilt,,Manishi Maraledu,Old,Gundamma Katha
Guilt,,Neevuleka Veena,Old,Doctor Chakravarthy
Guilt,,Yemi Cheyamanduve,Old,Priyuraalu Pilichindi
Guilt,,,Old,
Guilt,,,Old,
Guilt,,,Old,
Guilt,,Aligina Velane,Old,Gundamma Katha
Guilt,,Evarevaro,New,Animal
Guilt,,Vellipomaake,New,Saahasam Swaasaga Saagipo
Guilt,,Adigaa,New,Hi Nanna
Guilt,,Gundelonaa,New,Arjun Reddy
Guilt,,Kanapadava ,New,Paagal
Guilt,,Yevarini Adaganu,New,Sita Ramam
Guilt,,Kshaminchu,New,Devadasu
Guilt,,Toliprema,New,Tholi Prema
Guilt,,Innalla Dhooram,New,Chirutha
Guilt,,Manasanta Mukkalu Chesi,New,Prema Kavali
Hatred,,Evarikosam,Old,Prem Nagar
Hatred,,Manasu Gaathi Inthey,Old,Prem Nagar
Hatred,,Are Emiti Lokam,Old,Anthuleni Katha
Hatred,,Kanchiki Pothavaa,Old,Subhodayam
Hatred,,Puttintollu Tharimesaaru,Old,Vetagadu
Hatred,,Ayyayo Ayyayo,Old,Kula Gothralu
Hatred,,Merupula La La,Old,Attaku Yumudu Ammayiki Mogudu
Hatred,,Idhi Naa Jeevitha Alaapana,Old,Suvarna Sundari
Hatred,,,Old,
Hatred,,,Old,
Hatred,,Pilla Chao,New,Businessman
Hatred,,Hate You,New,Happy
Hatred,,Nachaledhu Maava,New,Yeto Vellipoyindhi Manasu
Hatred,,I Hate Love Stories,New,Greekuveerudu
Hatred,,I Hate My Lifu,New,Ek Mini Katha
Hatred,,Nuvvasalu,New,Ashok
Hatred,,I Dont Want Luv,New,Kick
Hatred,,Koppamga Koppamga,New,Mr.Majnu
Hatred,,Badhulu Thochani,New,Mr.Perfect
Hatred,,Pranam Pothunna,New,Love Today
Horror,,Ninu Veedani Needanu Nene,Old,Anthasthulu
Horror,,Nandikonda,Old,Geetanjali
Horror,,Naginivo,Old,Raja Vikramarka
Horror,,,Old,
Horror,,,Old,
